name,role,company,industry,location,linkedinBio
Ernestus Seeviour,Budget/Accounting Analyst IV,InnoZ,SaaSify,Waśniów,Marketing lead driving digital campaigns and revenue growth
Dominique Vasnev,Recruiter,Twitterlist,SaaSify,Tanrake Village,Marketing lead driving digital campaigns and revenue growth
Ber Scotchmur,Paralegal,Wikibox,Retailify,Qiujia,Marketing lead driving digital campaigns and revenue growth
Audy Dewane,Help Desk Operator,Yadel,MarketPro,Pacatuba,Founder passionate about healthcare innovation
Ramsey Hotson,GIS Technical Architect,Youfeed,MarketPro,Clearwater,VP of Sales specializing in mid-market SaaS expansion
Jennine Metham,Geologist III,Lazz,MarketPro,Thomastown,UX designer creating intuitive user experiences
Ilyssa Besantie,Food Chemist,Realcube,HealthTech,Alagoa Grande,Data scientist leveraging machine learning for insights
Darryl Lidington,Staff Scientist,Livepath,E-comBiz,Cát Bà,Growth strategist with 10+ years in SaaS and FinTech
Cassandra Brisker,Research Assistant III,Edgewire,FinTechPro,Josefina,Data scientist leveraging machine learning for insights
Marita Medley,Sales Associate,Mycat,MarketPro,Zhuhu,Founder passionate about healthcare innovation
Antonio Shearsby,Chemical Engineer,Topiczoom,LogiTech,Jiekeng,Founder passionate about healthcare innovation
Roley Landman,Account Representative II,Gabvine,Retailify,Радишани,VP of Sales specializing in mid-market SaaS expansion
Sonni Grishakin,Marketing Assistant,Gabtype,LogiTech,Revda,Data scientist leveraging machine learning for insights
Gonzalo Orridge,Financial Analyst,Yabox,SaaSify,Boshof,Growth strategist with 10+ years in SaaS and FinTech
Tory Gouldbourn,Tax Accountant,Dynabox,HealthTech,Bryansk,Senior consultant with expertise in business transformation
Truman Tidbald,VP Quality Control,Devify,LogiTech,Umeå,Data scientist leveraging machine learning for insights
Alison O'Hartnedy,Structural Engineer,Linktype,TechSaaS,Boca do Acre,Founder passionate about healthcare innovation
Briny Watkin,Physical Therapy Assistant,Thoughtblab,MarketPro,Liebu,Director of Operations with experience in logistics and supply chain
Quint Farland,Administrative Assistant II,Zoomcast,EduTech,Kołczygłowy,Product manager focused on AI and data analytics solutions
Del Kirby,Geological Engineer,Aimbo,RetailHub,Närpes,Director of Operations with experience in logistics and supply chain
Abran Biggam,Account Representative IV,Kare,HealthTech,Hongos,Data scientist leveraging machine learning for insights
Dickie Cleyne,Tax Accountant,Ozu,LogiTech,Cheongju-si,Customer success manager dedicated to client satisfaction
Freddy Astlatt,Staff Accountant III,Zazio,Retailify,Dingtou,VP of Sales specializing in mid-market SaaS expansion
Humfried McDougald,Software Test Engineer III,Realpoint,RetailHub,Ningyang,Director of Operations with experience in logistics and supply chain
Korry Hullock,Payment Adjustment Coordinator,Tagchat,TechSaaS,Hetan,Senior consultant with expertise in business transformation
Gardiner Roumier,Automation Specialist IV,Jatri,HealthTech,Monterrey,Senior consultant with expertise in business transformation
Linc Jiruca,Staff Scientist,Avamm,FinTechPro,Santo Amaro,Director of Operations with experience in logistics and supply chain
Cassey Zuann,Physical Therapy Assistant,Abatz,E-comBiz,São João de Meriti,VP of Sales specializing in mid-market SaaS expansion
Marion Heeron,Senior Quality Engineer,Voolia,SaaSify,Sumqayıt,VP of Sales specializing in mid-market SaaS expansion
Pace Wilkison,Senior Editor,Yata,EduTech,Olmos,Growth strategist with 10+ years in SaaS and FinTech
Bessy Jowers,Senior Sales Associate,Plajo,TechSaaS,Ozubulu,Marketing lead driving digital campaigns and revenue growth
Phoebe Loines,Senior Quality Engineer,Vimbo,EduTech,Araraquara,Growth strategist with 10+ years in SaaS and FinTech
Dido Nappin,Senior Cost Accountant,Feedfire,SaaSify,General Emilio Aguinaldo,Data scientist leveraging machine learning for insights
Ysabel Faunt,GIS Technical Architect,Flipstorm,LogiTech,Kuala Lumpur,Senior consultant with expertise in business transformation
Gideon Downham,Food Chemist,Tavu,E-comBiz,Zhangduangu,VP of Sales specializing in mid-market SaaS expansion
Andy Fley,Recruiting Manager,Linklinks,TechSaaS,Douz,Growth strategist with 10+ years in SaaS and FinTech
Kippy Isitt,Dental Hygienist,Tazzy,HealthTech,Aleksotas,Product manager focused on AI and data analytics solutions
Mannie Neild,Quality Control Specialist,Rhynyx,TechSaaS,Yong’an,Marketing lead driving digital campaigns and revenue growth
Orelie Ennion,Analyst Programmer,Layo,TechSaaS,Tibiri,Growth strategist with 10+ years in SaaS and FinTech
Laurel Trevers,Help Desk Operator,Janyx,HealthTech,Holma,Marketing lead driving digital campaigns and revenue growth
Elsie Dufore,Account Coordinator,Kazu,LogiTech,Chã,Founder passionate about healthcare innovation
Kiele Keir,Information Systems Manager,Edgetag,TechSaaS,Trảng Bàng,UX designer creating intuitive user experiences
Lanni Overal,Systems Administrator II,Trilia,HealthTech,Kronshtadt,Senior consultant with expertise in business transformation
Lynnelle Mafham,Speech Pathologist,Topicstorm,LogiTech,Nanggewer,Founder passionate about healthcare innovation
Kylie Schimon,Staff Accountant III,Tambee,FinTechPro,Paris 06,Growth strategist with 10+ years in SaaS and FinTech
Abbye Adger,Quality Engineer,Twitternation,EduTech,Pedaringan,Customer success manager dedicated to client satisfaction
Wilburt Lelliott,Safety Technician IV,Yakitri,SaaSify,Dodu Dua,Data scientist leveraging machine learning for insights
Sibyl Lydon,Senior Cost Accountant,Jabbersphere,E-comBiz,Cartago,Founder passionate about healthcare innovation
Amandi Redwood,Account Coordinator,Eayo,Retailify,Nesterovskaya,Marketing lead driving digital campaigns and revenue growth
Coretta Getley,GIS Technical Architect,Tagcat,E-comBiz,Estaca,Senior consultant with expertise in business transformation
Beverly Serfati,Marketing Assistant,Wordware,E-comBiz,Raduzhnyy,Product manager focused on AI and data analytics solutions
Lilian Scoone,Junior Executive,Edgeclub,SaaSify,Jibu Hulangtu,Founder passionate about healthcare innovation
Gisella Lamswood,Design Engineer,Edgeify,Retailify,Ibadan,Growth strategist with 10+ years in SaaS and FinTech
Liz Boothman,VP Product Management,Realmix,Retailify,Żebbuġ,Director of Operations with experience in logistics and supply chain
Emmerich Janks,Software Consultant,Trilia,RetailHub,Setro,Senior consultant with expertise in business transformation
Edie Wyon,Product Engineer,Brainsphere,HealthTech,Sumberan,Product manager focused on AI and data analytics solutions
Heinrick Sandon,Account Coordinator,Linkbridge,Retailify,Hitiaa,Growth strategist with 10+ years in SaaS and FinTech
Dudley Mosten,Research Associate,Chatterbridge,MarketPro,Barbalha,Customer success manager dedicated to client satisfaction
Kelci Simpkiss,VP Product Management,Livetube,MarketPro,Qarqania,Product manager focused on AI and data analytics solutions
Abbey Hordell,Sales Associate,Kazio,MarketPro,Lahad Datu,Customer success manager dedicated to client satisfaction
Adena Escot,Research Nurse,Brainlounge,Retailify,Burgau,VP of Sales specializing in mid-market SaaS expansion
Kirsti Esseby,Associate Professor,Dabshots,HealthTech,Mori,UX designer creating intuitive user experiences
Doretta Elsmor,Financial Analyst,Vimbo,EduTech,Nueva Loja,Marketing lead driving digital campaigns and revenue growth
