Name,Role,Company,Score,Intent,Reasoning
"Ernestus Seeviour","Budget/Accounting Analyst IV","InnoZ",50,"Medium","Rule: 20 + AI: 30"
"Dominique Vasnev","Recruiter","Twitterlist",50,"Medium","Rule: 20 + AI: 30"
"Ber Scotchmur","Paralegal","Wikibox",40,"Low","Rule: 10 + AI: 30"
"Audy Dewane","Help Desk Operator","Yadel",40,"Low","Rule: 10 + AI: 30"
"Ramsey Hotson","GIS Technical Architect","Youfeed",40,"Low","Rule: 10 + AI: 30"
"Jennine Metham","Geologist III","Lazz",40,"Low","Rule: 10 + AI: 30"
"Ilyssa Besantie","Food Chemist","Realcube",40,"Low","Rule: 10 + AI: 30"
"Darryl Lidington","Staff Scientist","Livepath",40,"Low","Rule: 10 + AI: 30"
"Cassandra Brisker","Research Assistant III","Edgewire",40,"Low","Rule: 10 + AI: 30"
"Marita Medley","Sales Associate","Mycat",40,"Low","Rule: 10 + AI: 30"
"Antonio Shearsby","Chemical Engineer","Topiczoom",40,"Low","Rule: 10 + AI: 30"
"Roley Landman","Account Representative II","Gabvine",40,"Low","Rule: 10 + AI: 30"
"Sonni Grishakin","Marketing Assistant","Gabtype",40,"Low","Rule: 10 + AI: 30"
"Gonzalo Orridge","Financial Analyst","Yabox",50,"Medium","Rule: 20 + AI: 30"
"Tory Gouldbourn","Tax Accountant","Dynabox",40,"Low","Rule: 10 + AI: 30"
"Truman Tidbald","VP Quality Control","Devify",60,"Medium","Rule: 30 + AI: 30"
"Alison O'Hartnedy","Structural Engineer","Linktype",50,"Medium","Rule: 20 + AI: 30"
"Briny Watkin","Physical Therapy Assistant","Thoughtblab",40,"Low","Rule: 10 + AI: 30"
"Quint Farland","Administrative Assistant II","Zoomcast",40,"Low","Rule: 10 + AI: 30"
"Del Kirby","Geological Engineer","Aimbo",40,"Low","Rule: 10 + AI: 30"
"Abran Biggam","Account Representative IV","Kare",40,"Low","Rule: 10 + AI: 30"
"Dickie Cleyne","Tax Accountant","Ozu",40,"Low","Rule: 10 + AI: 30"
"Freddy Astlatt","Staff Accountant III","Zazio",40,"Low","Rule: 10 + AI: 30"
"Humfried McDougald","Software Test Engineer III","Realpoint",40,"Low","Rule: 10 + AI: 30"
"Korry Hullock","Payment Adjustment Coordinator","Tagchat",50,"Medium","Rule: 20 + AI: 30"
"Gardiner Roumier","Automation Specialist IV","Jatri",40,"Low","Rule: 10 + AI: 30"
"Linc Jiruca","Staff Scientist","Avamm",40,"Low","Rule: 10 + AI: 30"
"Cassey Zuann","Physical Therapy Assistant","Abatz",40,"Low","Rule: 10 + AI: 30"
"Marion Heeron","Senior Quality Engineer","Voolia",50,"Medium","Rule: 20 + AI: 30"
"Pace Wilkison","Senior Editor","Yata",40,"Low","Rule: 10 + AI: 30"
"Bessy Jowers","Senior Sales Associate","Plajo",50,"Medium","Rule: 20 + AI: 30"
"Phoebe Loines","Senior Quality Engineer","Vimbo",40,"Low","Rule: 10 + AI: 30"
"Dido Nappin","Senior Cost Accountant","Feedfire",50,"Medium","Rule: 20 + AI: 30"
"Ysabel Faunt","GIS Technical Architect","Flipstorm",40,"Low","Rule: 10 + AI: 30"
"Gideon Downham","Food Chemist","Tavu",40,"Low","Rule: 10 + AI: 30"
"Andy Fley","Recruiting Manager","Linklinks",60,"Medium","Rule: 30 + AI: 30"
"Kippy Isitt","Dental Hygienist","Tazzy",40,"Low","Rule: 10 + AI: 30"
"Mannie Neild","Quality Control Specialist","Rhynyx",50,"Medium","Rule: 20 + AI: 30"
"Orelie Ennion","Analyst Programmer","Layo",50,"Medium","Rule: 20 + AI: 30"
"Laurel Trevers","Help Desk Operator","Janyx",40,"Low","Rule: 10 + AI: 30"
"Elsie Dufore","Account Coordinator","Kazu",40,"Low","Rule: 10 + AI: 30"
"Kiele Keir","Information Systems Manager","Edgetag",60,"Medium","Rule: 30 + AI: 30"
"Lanni Overal","Systems Administrator II","Trilia",40,"Low","Rule: 10 + AI: 30"
"Lynnelle Mafham","Speech Pathologist","Topicstorm",40,"Low","Rule: 10 + AI: 30"
"Kylie Schimon","Staff Accountant III","Tambee",40,"Low","Rule: 10 + AI: 30"
"Abbye Adger","Quality Engineer","Twitternation",40,"Low","Rule: 10 + AI: 30"
"Wilburt Lelliott","Safety Technician IV","Yakitri",50,"Medium","Rule: 20 + AI: 30"
"Sibyl Lydon","Senior Cost Accountant","Jabbersphere",40,"Low","Rule: 10 + AI: 30"
"Amandi Redwood","Account Coordinator","Eayo",40,"Low","Rule: 10 + AI: 30"
"Coretta Getley","GIS Technical Architect","Tagcat",40,"Low","Rule: 10 + AI: 30"
